t	x	y	z	adx	ady	adz
1352672386875	1.2122109	5.2574544	8.131348	0.0	0.0	0.0
1352672386933	1.0760075	5.1893525	8.499097	-0.068101704	-0.03405094	0.1838746
1352672386933	0.980665	5.1076303	8.825985	-0.07718196	-0.04994138	0.23154576
1352672387009	0.92618364	5.039529	8.839605	-0.07150681	-0.054481387	0.17706442
1352672387010	1.0215261	4.9578066	8.526338	-0.03813696	-0.05992956	0.07899799
1352672387021	1.1577295	4.944186	8.158588	-0.009080231	-0.052211363	0.0045401254
1352672387021	1.1849703	4.9850473	7.940663	-0.003891519	-0.038915295	-0.027240684
1352672387021	1.1713499	5.09401	7.913422	-0.0051076263	-0.020430565	-0.027240694
1352672387028	1.1441092	5.243834	8.22669	-0.0075668492	-0.0015133752	0.010593627
1352672387046	1.0215261	5.407278	8.499097	-0.01906848	0.014982367	0.036774922
1352672387066	0.9670447	5.529861	8.798744	-0.022287834	0.024764234	0.060672414
1352672387086	0.980665	5.5434813	8.921328	-0.01929549	0.023835579	0.06583166
1352672387110	0.980665	5.3527966	8.880466	-0.01781122	0.007334012	0.057624523
1352672387127	1.0487667	5.2165933	8.267551	-0.011674583	-0.002918652	0.009728841
1352672387147	1.1577295	5.0259085	8.267551	-0.0036320924	-0.015436395	0.009080251
1352672387167	1.2258313	4.9986677	8.281172	8.5127354E-4	-0.016174167	0.009364009
1352672387187	1.3484144	4.9986677	8.417375	0.0080119725	-0.015222746	0.016825115
1352672387207	1.3620348	5.0259085	8.7034025	0.00832355	-0.012863662	0.031780824
1352672387227	1.3075534	5.0259085	8.934948	0.005018027	-0.012186628	0.04229475
1352672387247	1.1985906	4.9986677	9.01667	-6.8101287E-4	-0.012939334	0.044266127
1352672387268	1.1713499	4.9169455	8.798744	-0.0019457624	-0.016214712	0.031780787
1352672387288	1.1713499	4.8760843	8.539958	-0.0018573187	-0.017335003	0.018573197
1352672387308	1.2803127	4.8216033	8.322033	0.0029609462	-0.018950047	0.008290664
1352672387328	1.3075534	4.8216033	8.281172	0.003972605	-0.018160462	0.0062426724
1352672387349	1.2394516	4.903325	8.430995	0.0010896302	-0.014165172	0.011985893
1352672387370	1.0623871	5.053149	8.60806	-0.005762453	-0.007857891	0.018335085
1352672387388	0.95342433	5.2302136	8.866846	-0.009953329	-0.0010477212	0.028288402
1352672387408	0.7082581	5.3800373	9.043911	-0.018664919	0.0045401077	0.033798642
1352672387428	0.44947147	5.597963	9.084772	-0.027240694	0.012161016	0.034050874
1352672387448	0.3949901	5.802268	9.193735	-0.021691665	0.025727324	0.013620377
1352672387469	0.47671217	6.0474343	9.384419	-0.017998317	0.03356443	0.019944089
1352672387488	0.40861043	6.4151835	9.602345	-0.019726021	0.045088045	0.026771052
1352672387509	0.24516626	6.8237944	9.656827	-0.024516625	0.057205472	0.027694734
1352672387529	-0.027240695	7.709117	9.602345	-0.046853997	0.09861132	0.055026207
1352672387551	-0.21792556	8.471856	9.316318	-0.049578067	0.12258312	0.032688826
1352672387570	-0.50395286	8.962189	9.220976	-0.058839902	0.13729312	0.016889267
1352672387590	-1.1168685	9.357179	9.234595	-0.083901346	0.1525479	0.012530709
1352672387611	-1.3756552	9.561484	8.512717	-0.09425282	0.16834751	-0.014709968
1352672387634	-1.1713499	9.384419	7.4503303	-0.08880466	0.16671304	-0.032688845
1352672387653	-1.0760075	9.193735	6.142777	-0.089349486	0.16671306	-0.08499098
1352672387673	-1.56634	9.561484	4.3176503	-0.11168684	0.18251267	-0.15854086
1352672387693	-1.96133	9.861132	2.2473574	-0.13238977	0.19449855	-0.24680069
1352672387713	-1.9340894	10.051817	1.253072	-0.13184495	0.20103633	-0.29801324
1352672387733	-1.5527196	9.765789	1.5118586	-0.11441091	0.18959522	-0.29692358
1352672387754	-1.1168685	9.180115	2.083913	-0.09261836	0.16725788	-0.27731028
1352672387774	-0.88532263	8.349273	1.9340894	-0.0822669	0.13729309	-0.2745862
1352672387794	-0.87170225	7.8317	0.53119355	-0.08172208	0.11822462	-0.32035056
1352672387814	-0.980665	7.327747	-0.8308412	-0.09043909	0.100245744	-0.36611497
1352672387840	-0.9670447	6.769313	-1.9340894	-0.090983905	0.07790838	-0.40861046
1352672387860	-0.8036005	6.1563973	-2.7104492	-0.08172206	0.05012289	-0.44565782
1352672387881	-0.5720546	5.4208984	-3.0781987	-0.065377645	0.014709968	-0.46745032
1352672387901	-0.50395286	4.7126403	-3.255263	-0.058295075	-0.020702934	-0.4848844
1352672387921	-0.38136974	3.9090397	-3.6230125	-0.043585096	-0.058839902	-0.506677
1352672387941	-0.44947147	3.1190596	-4.2223077	-0.035957698	-0.099156134	-0.53228325
1352672387961	-0.626536	2.465283	-4.576437	-0.040861044	-0.1334794	-0.55080694
1352672387981	-1.0760075	2.0566726	-4.576437	-0.06210877	-0.15963048	-0.5584343
1352672388001	-1.4709976	1.525479	-4.4810944	-0.07518432	-0.19558819	-0.5633376
1352672388021	-1.7706453	0.939804	-4.658159	-0.08063245	-0.23535961	-0.5725995
1352672388041	-1.9885708	0.4903325	-5.3527966	-0.078453206	-0.28875136	-0.59820575
1352672388062	-2.5333846	0.10896278	-6.1563973	-0.09261836	-0.33451572	-0.61890864
1352672388081	-3.0645783	-0.17706452	-7.3549876	-0.102425024	-0.3655701	-0.6630386
1352672388101	-3.5549107	-0.53119355	-8.430995	-0.097521685	-0.39553487	-0.7066237
1352672388121	-4.031623	-0.9125633	-9.316318	-0.10623871	-0.41896188	-0.7131614
1352672388142	-4.235928	-1.3756552	-10.378705	-0.12258312	-0.43040293	-0.7131614
1352672388162	-4.2223077	-1.8387469	-11.386611	-0.12585202	-0.44129926	-0.70117545
1352672388182	-4.1814466	-2.1383946	-12.081248	-0.10460427	-0.4679951	-0.655956
1352672388202	-4.072484	-2.3699405	-12.190211	-0.08444616	-0.48924285	-0.5775027
1352672388222	-4.0452433	-2.547005	-12.190211	-0.084446155	-0.50395286	-0.53773135
1352672388242	-3.990762	-2.7240696	-11.931424	-0.09752169	-0.49959433	-0.53773135
1352672388263	-4.031623	-2.819412	-11.822462	-0.11659017	-0.47998106	-0.556255
1352672388284	-4.2223077	-2.7513103	-11.890564	-0.1334794	-0.44402328	-0.5529861
